;Invoice ID;Branch;Cidade;Customer type;Gênero;Linha de produto;Preço unitário;Quantidade;Tax 5%;Total;Data;Time;Pagamento;cogs;gross margin percentage;gross income;Rating
75;732-94-0499;C;Presidente Prudente;Normal;Feminino;acessórios eletronicos;41,65;10;20,825;437,325;1/13/2019;17:04;cartão de crédito;416,5;4,761904762;20,825;5,4
76;263-10-3913;C;Presidente Prudente;Member;Masculino;acessórios fashions;49,04;9;22,068;463,428;1/9/2019;14:20;cartão de crédito;441,36;4,761904762;22,068;8,6
77;381-20-0914;A;Tupã;Member;Feminino;acessórios fashions;20,01;9;9,0045;189,0945;1/12/2019;15:48;cartão de crédito;180,09;4,761904762;9,0045;5,7
78;829-49-1914;C;Presidente Prudente;Member;Feminino;alimentos e bebidas;78,31;10;39,155;822,255;3/5/2019;16:24;carteira eletrônica;783,1;4,761904762;39,155;6,6
79;756-01-7507;C;Presidente Prudente;Normal;Feminino;saúde e beleza;20,38;5;5,095;106,995;1/22/2019;18:56;dinheiro;101,9;4,761904762;5,095;6,0
80;870-72-4431;C;Presidente Prudente;Normal;Feminino;saúde e beleza;99,19;6;29,757;624,897;1/21/2019;14:42;cartão de crédito;595,14;4,761904762;29,757;5,5
81;847-38-7188;B;Adamantina;Normal;Feminino;alimentos e bebidas;96,68;3;14,502;304,542;1/26/2019;19:56;carteira eletrônica;290,04;4,761904762;14,502;6,4
82;480-63-2856;C;Presidente Prudente;Normal;Masculino;alimentos e bebidas;19,25;8;7,7;161,7;1/23/2019;18:37;carteira eletrônica;154,0;4,761904762;7,7;6,6
83;787-56-0757;C;Presidente Prudente;Member;Feminino;alimentos e bebidas;80,36;4;16,072;337,512;2/23/2019;18:45;cartão de crédito;321,44;4,761904762;16,072;8,3
84;360-39-5055;C;Presidente Prudente;Member;Masculino;esportes e viagens;48,91;5;12,2275;256,7775;3/9/2019;10:17;dinheiro;244,55;4,761904762;12,2275;6,6
85;730-50-9884;C;Presidente Prudente;Normal;Feminino;esportes e viagens;83,06;7;29,071;610,491;3/5/2019;14:31;carteira eletrônica;581,42;4,761904762;29,071;4,0
86;362-58-8315;C;Presidente Prudente;Normal;Masculino;acessórios fashions;76,52;5;19,13;401,73;3/25/2019;10:23;dinheiro;382,6;4,761904762;19,13;9,9
87;633-44-8566;A;Tupã;Member;Masculino;alimentos e bebidas;49,38;7;17,283;362,943;3/27/2019;20:35;cartão de crédito;345,66;4,761904762;17,283;7,3
88;504-35-8843;A;Tupã;Normal;Masculino;esportes e viagens;42,47;1;2,1235;44,5935;1/2/2019;16:57;dinheiro;42,47;4,761904762;2,1235;5,7
89;318-68-5053;B;Adamantina;Normal;Feminino;saúde e beleza;76,99;6;23,097;485,037;2/27/2019;17:55;dinheiro;461,94;4,761904762;23,097;6,1
90;565-80-5980;C;Presidente Prudente;Member;Feminino;casa e estilo de vida;47,38;4;9,476;198,996;1/23/2019;10:25;dinheiro;189,52;4,761904762;9,476;7,1
91;225-32-0908;C;Presidente Prudente;Normal;Feminino;esportes e viagens;44,86;10;22,43;471,03;1/26/2019;19:54;carteira eletrônica;448,6;4,761904762;22,43;8,2
92;873-51-0671;A;Tupã;Member;Feminino;esportes e viagens;21,98;7;7,693;161,553;1/10/2019;16:42;carteira eletrônica;153,86;4,761904762;7,693;5,1
93;152-08-9985;B;Adamantina;Member;Masculino;saúde e beleza;64,36;9;28,962;608,202;3/12/2019;12:09;cartão de crédito;579,24;4,761904762;28,962;8,6
94;512-91-0811;C;Presidente Prudente;Normal;Masculino;saúde e beleza;89,75;1;4,4875;94,2375;2/6/2019;20:05;cartão de crédito;89,75;4,761904762;4,4875;6,6
95;594-34-4444;A;Tupã;Normal;Masculino;acessórios eletronicos;97,16;1;4,858;102,018;3/8/2019;20:38;carteira eletrônica;97,16;4,761904762;4,858;7,2
96;766-85-7061;B;Adamantina;Normal;Masculino;saúde e beleza;87,87;10;43,935;922,635;3/29/2019;10:25;carteira eletrônica;878,7;4,761904762;43,935;5,1
97;871-39-9221;C;Presidente Prudente;Normal;Feminino;acessórios eletronicos;12,45;6;3,735;78,435;2/9/2019;13:11;dinheiro;74,7;4,761904762;3,735;4,1
98;865-92-6136;A;Tupã;Normal;Masculino;alimentos e bebidas;52,75;3;7,9125;166,1625;3/23/2019;10:16;carteira eletrônica;158,25;4,761904762;7,9125;9,3
99;733-01-9107;B;Adamantina;Normal;Masculino;casa e estilo de vida;82,7;6;24,81;521,01;3/5/2019;18:14;dinheiro;496,2;4,761904762;24,81;7,4
100;163-56-7055;C;Presidente Prudente;Member;Masculino;acessórios fashions;48,71;1;2,4355;51,1455;3/26/2019;19:20;dinheiro;48,71;4,761904762;2,4355;4,1
101;189-98-2939;C;Presidente Prudente;Normal;Masculino;acessórios fashions;78,55;9;35,3475;742,2975;3/1/2019;13:22;dinheiro;706,95;4,761904762;35,3475;7,2
102;551-21-3069;C;Presidente Prudente;Normal;Feminino;acessórios eletronicos;23,07;9;10,3815;218,0115;2/1/2019;11:27;dinheiro;207,63;4,761904762;10,3815;4,9
103;212-62-1842;A;Tupã;Normal;Masculino;alimentos e bebidas;58,26;6;17,478;367,038;3/28/2019;16:44;dinheiro;349,56;4,761904762;17,478;9,9
104;716-39-1409;B;Adamantina;Normal;Masculino;saúde e beleza;30,35;7;10,6225;223,0725;3/19/2019;18:19;dinheiro;212,45;4,761904762;10,6225;8,0
105;704-48-3927;A;Tupã;Member;Masculino;acessórios eletronicos;88,67;10;44,335;931,035;1/12/2019;14:50;carteira eletrônica;886,7;4,761904762;44,335;7,3
106;628-34-3388;C;Presidente Prudente;Normal;Masculino;acessórios fashions;27,38;6;8,214;172,494;1/5/2019;20:54;cartão de crédito;164,28;4,761904762;8,214;7,9
107;630-74-5166;A;Tupã;Normal;Masculino;esportes e viagens;62,13;6;18,639;391,419;3/22/2019;20:19;dinheiro;372,78;4,761904762;18,639;7,4
108;588-01-7461;C;Presidente Prudente;Normal;Feminino;alimentos e bebidas;33,98;9;15,291;321,111;3/24/2019;10:43;dinheiro;305,82;4,761904762;15,291;4,2
109;861-77-0145;C;Presidente Prudente;Member;Masculino;acessórios eletronicos;81,97;10;40,985;860,685;3/3/2019;14:30;dinheiro;819,7;4,761904762;40,985;9,2
110;479-26-8945;B;Adamantina;Member;Feminino;esportes e viagens;16,49;2;1,649;34,629;2/5/2019;11:32;carteira eletrônica;32,98;4,761904762;1,649;4,6
111;210-67-5886;C;Presidente Prudente;Member;Feminino;saúde e beleza;98,21;3;14,7315;309,3615;2/5/2019;10:41;cartão de crédito;294,63;4,761904762;14,7315;7,8
112;227-78-1148;B;Adamantina;Normal;Feminino;acessórios fashions;72,84;7;25,494;535,374;2/15/2019;12:44;dinheiro;509,88;4,761904762;25,494;8,4
113;645-44-1170;A;Tupã;Member;Masculino;casa e estilo de vida;58,07;9;26,1315;548,7615;1/19/2019;20:07;carteira eletrônica;522,63;4,761904762;26,1315;4,3
114;237-01-6122;C;Presidente Prudente;Member;Feminino;casa e estilo de vida;80,79;9;36,3555;763,4655;2/1/2019;20:31;cartão de crédito;727,11;4,761904762;36,3555;9,5
115;225-98-1496;C;Presidente Prudente;Normal;Feminino;acessórios fashions;27,02;3;4,053;85,113;3/2/2019;13:01;cartão de crédito;81,06;4,761904762;4,053;7,1
116;291-32-1427;B;Adamantina;Member;Masculino;acessórios fashions;21,94;5;5,485;115,185;3/5/2019;12:29;carteira eletrônica;109,7;4,761904762;5,485;5,3
117;659-65-8956;B;Adamantina;Member;Masculino;acessórios fashions;51,36;1;2,568;53,928;1/16/2019;15:26;carteira eletrônica;51,36;4,761904762;2,568;5,2
118;642-32-2990;A;Tupã;Normal;Feminino;alimentos e bebidas;10,96;10;5,48;115,08;2/2/2019;20:48;carteira eletrônica;109,6;4,761904762;5,48;6,0
119;378-24-2715;B;Adamantina;Normal;Masculino;casa e estilo de vida;53,44;2;5,344;112,224;1/20/2019;20:38;carteira eletrônica;106,88;4,761904762;5,344;4,1
120;638-60-7125;A;Tupã;Normal;Feminino;acessórios eletronicos;99,56;8;39,824;836,304;2/14/2019;17:03;cartão de crédito;796,48;4,761904762;39,824;5,2
121;659-36-1684;C;Presidente Prudente;Member;Masculino;esportes e viagens;57,12;7;19,992;419,832;1/12/2019;12:02;cartão de crédito;399,84;4,761904762;19,992;6,5
122;219-22-9386;B;Adamantina;Member;Masculino;esportes e viagens;99,96;9;44,982;944,622;3/9/2019;17:26;cartão de crédito;899,64;4,761904762;44,982;4,2
123;336-78-2147;C;Presidente Prudente;Member;Masculino;casa e estilo de vida;63,91;8;25,564;536,844;3/13/2019;19:52;cartão de crédito;511,28;4,761904762;25,564;4,6
124;268-27-6179;B;Adamantina;Member;Feminino;acessórios fashions;56,47;8;22,588;474,348;3/9/2019;14:57;carteira eletrônica;451,76;4,761904762;22,588;7,3
125;668-90-8900;A;Tupã;Normal;Feminino;casa e estilo de vida;93,69;7;32,7915;688,6215;3/10/2019;18:44;cartão de crédito;655,83;4,761904762;32,7915;4,5
126;870-54-3162;A;Tupã;Normal;Feminino;esportes e viagens;32,25;5;8,0625;169,3125;1/27/2019;13:26;dinheiro;161,25;4,761904762;8,0625;9,0
127;189-08-9157;C;Presidente Prudente;Normal;Feminino;acessórios fashions;31,73;9;14,2785;299,8485;1/8/2019;16:17;cartão de crédito;285,57;4,761904762;14,2785;5,9
128;663-86-9076;C;Presidente Prudente;Member;Feminino;alimentos e bebidas;68,54;8;27,416;575,736;1/8/2019;15:57;carteira eletrônica;548,32;4,761904762;27,416;8,5
129;549-84-7482;B;Adamantina;Normal;Feminino;esportes e viagens;90,28;9;40,626;853,146;2/8/2019;11:15;carteira eletrônica;812,52;4,761904762;40,626;7,2
130;191-10-6171;B;Adamantina;Normal;Feminino;acessórios fashions;39,62;7;13,867;291,207;1/25/2019;13:18;dinheiro;277,34;4,761904762;13,867;7,5
131;802-70-5316;A;Tupã;Member;Feminino;esportes e viagens;92,13;6;27,639;580,419;3/6/2019;20:34;dinheiro;552,78;4,761904762;27,639;8,3
132;695-51-0018;B;Adamantina;Normal;Feminino;esportes e viagens;34,84;4;6,968;146,328;2/10/2019;18:36;dinheiro;139,36;4,761904762;6,968;7,4
133;590-83-4591;B;Adamantina;Member;Masculino;acessórios eletronicos;87,45;6;26,235;550,935;2/17/2019;14:40;cartão de crédito;524,7;4,761904762;26,235;8,8
134;483-71-1164;C;Presidente Prudente;Normal;Feminino;saúde e beleza;81,3;6;24,39;512,19;3/8/2019;16:43;carteira eletrônica;487,8;4,761904762;24,39;5,3
135;597-78-7908;C;Presidente Prudente;Normal;Masculino;acessórios fashions;90,22;3;13,533;284,193;2/18/2019;19:39;dinheiro;270,66;4,761904762;13,533;6,2
136;700-81-1757;A;Tupã;Normal;Feminino;acessórios eletronicos;26,31;5;6,5775;138,1275;1/18/2019;20:59;cartão de crédito;131,55;4,761904762;6,5775;8,8
137;354-39-5160;A;Tupã;Member;Feminino;casa e estilo de vida;34,42;6;10,326;216,846;2/18/2019;15:39;dinheiro;206,52;4,761904762;10,326;9,8
138;241-72-9525;B;Adamantina;Normal;Masculino;esportes e viagens;51,91;10;25,955;545,055;2/16/2019;12:21;dinheiro;519,1;4,761904762;25,955;8,2
139;575-30-8091;A;Tupã;Normal;Masculino;esportes e viagens;72,5;8;29,0;609,0;3/16/2019;19:25;carteira eletrônica;580,0;4,761904762;29,0;9,2
140;731-81-9469;C;Presidente Prudente;Member;Feminino;esportes e viagens;89,8;10;44,9;942,9;1/23/2019;13:00;cartão de crédito;898,0;4,761904762;44,9;5,4
141;280-17-4359;C;Presidente Prudente;Member;Masculino;saúde e beleza;90,5;10;45,25;950,25;1/25/2019;13:48;dinheiro;905,0;4,761904762;45,25;8,1
142;338-65-2210;C;Presidente Prudente;Member;Feminino;saúde e beleza;68,6;10;34,3;720,3;2/5/2019;19:57;dinheiro;686,0;4,761904762;34,3;9,1
143;488-25-4221;C;Presidente Prudente;Member;Feminino;alimentos e bebidas;30,41;1;1,5205;31,9305;2/22/2019;10:36;cartão de crédito;30,41;4,761904762;1,5205;8,4
144;239-10-7476;A;Tupã;Normal;Feminino;casa e estilo de vida;77,95;6;23,385;491,085;1/21/2019;16:37;carteira eletrônica;467,7;4,761904762;23,385;8,0
145;458-41-1477;C;Presidente Prudente;Normal;Feminino;saúde e beleza;46,26;6;13,878;291,438;3/8/2019;17:11;cartão de crédito;277,56;4,761904762;13,878;9,5
146;685-64-1609;A;Tupã;Member;Feminino;acessórios fashions;30,14;10;15,07;316,47;2/10/2019;12:28;carteira eletrônica;301,4;4,761904762;15,07;9,2
147;568-90-5112;C;Presidente Prudente;Normal;Masculino;saúde e beleza;66,14;4;13,228;277,788;3/19/2019;12:46;cartão de crédito;264,56;4,761904762;13,228;5,6
148;262-47-2794;B;Adamantina;Member;Masculino;casa e estilo de vida;71,86;8;28,744;603,624;3/6/2019;15:07;cartão de crédito;574,88;4,761904762;28,744;6,2
149;238-49-0436;A;Tupã;Normal;Masculino;saúde e beleza;32,46;8;12,984;272,664;3/27/2019;13:48;cartão de crédito;259,68;4,761904762;12,984;4,9
150;608-96-3517;B;Adamantina;Member;Feminino;acessórios fashions;91,54;4;18,308;384,468;3/23/2019;19:20;cartão de crédito;366,16;4,761904762;18,308;4,8
151;584-86-7256;C;Presidente Prudente;Member;Masculino;esportes e viagens;34,56;7;12,096;254,016;3/11/2019;16:07;cartão de crédito;241,92;4,761904762;12,096;7,3
152;746-94-0204;A;Tupã;Normal;Masculino;acessórios fashions;83,24;9;37,458;786,618;1/29/2019;11:56;cartão de crédito;749,16;4,761904762;37,458;7,4
153;214-17-6927;C;Presidente Prudente;Normal;Feminino;alimentos e bebidas;16,48;6;4,944;103,824;2/7/2019;18:23;carteira eletrônica;98,88;4,761904762;4,944;9,9
154;400-89-4171;C;Presidente Prudente;Normal;Feminino;esportes e viagens;80,97;8;32,388;680,148;1/28/2019;13:05;dinheiro;647,76;4,761904762;32,388;9,3
155;782-95-9291;A;Tupã;Member;Masculino;alimentos e bebidas;92,29;5;23,0725;484,5225;2/20/2019;15:55;cartão de crédito;461,45;4,761904762;23,0725;9,0
156;279-74-2924;B;Adamantina;Member;Masculino;acessórios eletronicos;72,17;1;3,6085;75,7785;1/4/2019;19:40;dinheiro;72,17;4,761904762;3,6085;6,1
157;307-85-2293;B;Adamantina;Normal;Masculino;casa e estilo de vida;50,28;5;12,57;263,97;3/7/2019;13:58;carteira eletrônica;251,4;4,761904762;12,57;9,7
158;743-04-1105;B;Adamantina;Member;Masculino;saúde e beleza;97,22;9;43,749;918,729;3/30/2019;14:43;carteira eletrônica;874,98;4,761904762;43,749;6,0
